what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphing,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphing",1569685628262
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphingapi.ui,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphingapi.ui",1569685628262
stopped,bundle,org.eclipse.birt.chart.engine,2.6.2.r262_v20110120,"org.eclipse.birt.chart.engine",1569685628262
stopped,bundle,org.eclipse.birt.core.ui,2.6.2.r262_v20101014,"org.eclipse.birt.core.ui",1569685628262
stopped,bundle,org.eclipse.birt.data.aggregation,2.6.2.r262_v20110127,"org.eclipse.birt.data.aggregation",1569685628262
stopped,bundle,org.eclipse.birt.data,2.6.2.r262_v20110215,"org.eclipse.birt.data",1569685628262
stopped,bundle,org.eclipse.birt.core,2.6.2.r262_v20110209,"org.eclipse.birt.core",1569685628262
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1569685628262
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1569685628263
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1569685628263
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1569685628263
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1569685628263
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1569685628263
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1569685628263
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1569685628263
stopped,bundle,org.eclipse.linuxtools.callgraph.launch,0.0.1.201101251503,"org.eclipse.linuxtools.callgraph.launch",1569685628263
stopped,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.0.201101251503,"org.eclipse.linuxtools.oprofile.launch",1569685628263
stopped,bundle,org.eclipse.linuxtools.valgrind.cachegrind,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.cachegrind",1569685628263
stopped,bundle,org.eclipse.linuxtools.valgrind.memcheck,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.memcheck",1569685628263
stopped,bundle,org.eclipse.linuxtools.valgrind.launch,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.launch",1569685628263
stopped,bundle,org.eclipse.linuxtools.profiling.launch,0.7.0.201101251503,"org.eclipse.linuxtools.profiling.launch",1569685628264
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1569685628264
stopped,bundle,org.eclipse.linuxtools.valgrind.ui,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.ui",1569685628265
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1569685628265
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1569685628265
stopped,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1569685628265
stopped,bundle,org.eclipse.linuxtools.binutils,4.0.0.201101251503,"org.eclipse.linuxtools.binutils",1569685628265
stopped,bundle,org.eclipse.linuxtools.callgraph,0.0.1.201101251503,"org.eclipse.linuxtools.callgraph",1569685628267
stopped,bundle,org.eclipse.linuxtools.callgraph.core,0.0.1.201101251503,"org.eclipse.linuxtools.callgraph.core",1569685628267
stopped,bundle,org.eclipse.linuxtools.oprofile.ui,0.3.0.201101251503,"org.eclipse.linuxtools.oprofile.ui",1569685628267
